Price per m2 (dollars);LCI
18,966;0,61781246
5,593;0,61781246
5,541;0,61781246
5,921;0,598965593
12,193;0,598965593
5,963;0,598965593
5,375;0,69526354
3,391;0,69526354
11,774;0,69526354
23,254;0,69526354
6,85;0,69526354
25,95;0,69526354
5,857;0,69526354
2,645;0,69526354
2,82;0,69526354
2,665;0,69526354
2,7;0,69526354
3,126;0,69526354
92,485;0,625972633
2,981;0,625972633
6,191;0,625972633
4,985;0,625972633
5,961;0,625972633
6,055;0,625972633
5,942;0,625972633
6,559;0,625972633
107,314;0,625972633
11,523;0,625972633
5,663;0,625972633
21,073;0,625972633
8,932;0,625972633
6,998;0,625972633
5,881;0,625972633
33,697;0,624012048
13,688;0,610267755
6,114;0,610267755
14,134;0,610267755
5,987;0,610267755
14,49;0,610267755
12,339;0,610267755
0,955;0,610267755
14,691;0,610267755
6,385;0,610267755
6,207;0,610267755
6,261;0,610267755
3,131;0,610267755
15,147;0,610267755
13,578;0,610267755
8,557;0,610267755
14,376;0,610267755
53,177;0,610267755
11,482;0,610267755
5,93;0,610267755
5,966;0,610267755
5,937;0,610267755
5,974;0,610267755
10,23;0,610267755
6,005;0,610267755
6,482;0,588090416
3,105;0,588090416
12,51;0,588090416
12,625;0,610267755
8,001;0,610267755
7,952;0,610267755
334,159;0,621693124
12,946;0,617370072
8,077;0,617370072
7,953;0,617370072
5,977;0,617370072
3,46;0,588090416
7,921;0,621693124
94,07;0,792836633
94,975;0,792836633
74,017;0,792836633
274,76;0,827241981
116,945;0,835354727
160,497;0,720632564
154,984;0,776149372
173,216;0,745235326
112,697;0,831706834
69,035;0,824150378
95,063;0,800529401
88,457;0,800529401
88,014;0,800529401
46,44;0,840639123
63,9;0,840639123
37,607;0,840639123
49,843;0,840639123
40,078;0,840639123
104,205;0,751610263
48,122;0,70586473
163,343;0,708269737
137,527;0,708269737
65,56;0,698117348
18,49;0,698117348
30,001;0,698117348
9,591;0,698117348
73,731;0,698117348
38,483;0,698117348
74,193;0,777674432
78,118;0,777674432
316,994;0,777674432
225,383;0,91145702
228,371;0,91145702
154,106;0,856519083
103,929;0,836637854
62,368;0,836637854
259,578;0,870611851
155,741;0,831706834
75,737;0,710361759
80,516;0,710361759
77,666;0,710361759
75,478;0,710361759
76,715;0,710361759
81,294;0,710361759
81,323;0,710361759
75,382;0,809429267
83,185;0,809429267
80,644;0,809429267
80,447;0,809429267
94,054;0,809429267
74,818;0,809429267
